time_s,ax,ay,az,gx,gy,gz,mx,my,mz
3.353191,1.435793,0.783706,10.141564,0.610352,1.403809,2.929688,-6.582420,-7.480596,-74.919622
3.372403,1.236188,0.264247,9.910405,1.281738,3.906250,3.540039,-6.115217,-8.402972,-75.378985
3.390472,1.199896,0.858237,9.541002,0.427246,1.708984,-1.953125,-6.582420,-8.402972,-75.378985
3.410260,1.669421,0.286832,10.141564,1.464844,6.225586,-2.746582,-5.881616,-9.094753,-75.149304
3.429492,1.086484,0.562371,9.463949,0.793457,2.990723,-0.732422,-7.516827,-7.941784,-75.838348
3.448677,1.311040,0.386207,9.778961,-0.488281,-1.831055,-0.244141,-9.385639,-8.402972,-77.675800
3.467382,1.483426,0.501391,9.808422,-0.915527,-6.225586,1.098633,-7.516827,-6.558221,-76.757074
3.486228,1.419915,0.659487,9.776695,-0.549316,-3.662109,2.136230,-7.516827,-7.480596,-76.297711
3.505489,1.381355,0.584956,9.606724,-0.427246,-0.793457,-1.403809,-6.816022,-8.633566,-76.527393
3.524516,1.170409,0.413309,9.899073,-0.366211,1.586914,-1.953125,-7.750428,-8.633566,-76.068030
3.543429,1.408574,0.578181,9.554600,-1.281738,-3.295898,-1.037598,-7.283225,-7.711190,-77.905482
3.562970,1.565082,0.241661,10.760256,1.098633,3.356934,-1.159668,-8.451233,-8.864160,-76.297711
3.582345,1.755614,0.973421,10.037316,-0.183105,-1.159668,-0.793457,-8.451233,-8.402972,-75.378985
3.601910,1.218042,0.824359,8.491719,-0.122070,-2.563477,1.831055,-7.516827,-7.019408,-76.297711
3.620814,1.937073,0.542044,10.506434,0.427246,5.371094,-2.624512,-7.984030,-7.019408,-78.135163
3.641096,0.966268,0.876305,8.727411,-0.732422,-0.976562,-3.356934,-8.918436,-7.480596,-77.675800
3.661534,1.549204,0.225852,10.021452,0.366211,-1.647949,-0.366211,-9.619240,-7.711190,-77.905482
3.681408,1.172677,0.237144,10.082641,0.793457,-3.845215,1.220703,-8.684834,-6.327627,-78.364845
3.700584,2.138945,0.957612,8.743275,-0.122070,2.197266,2.258301,-8.451233,-6.097033,-77.216437
3.719754,2.345355,0.004517,10.592552,1.037598,4.638672,-2.502441,-8.217631,-6.788814,-76.527393
3.738202,1.825929,0.501391,10.093973,1.098633,-0.244141,-0.488281,-11.254451,-6.558221,-79.513252
3.757417,1.354136,0.241661,10.307002,-0.122070,-3.601074,0.610352,-9.385639,-7.480596,-77.216437
3.776520,1.290626,0.745311,10.723996,-0.122070,-0.061035,-3.967285,-11.488053,-9.555941,-79.283571
3.795434,0.787077,0.185198,9.400494,1.037598,5.859375,1.037598,-9.385639,-6.558221,-79.972615
3.814330,0.664593,0.593990,9.180665,-0.793457,-1.403809,-2.014160,-8.684834,-6.788814,-80.202297
3.833857,1.022974,1.016333,9.130807,-0.122070,9.460449,0.549316,-11.955256,-6.327627,-78.824208
3.854297,1.918927,0.652712,10.762523,-0.427246,-4.821777,-0.915527,-11.721654,-8.864160,-78.594526
3.874019,1.195360,0.537527,9.953464,-0.366211,-3.784180,-1.464844,-12.656060,-6.558221,-79.513252
3.893872,0.920903,1.104415,7.884358,0.305176,6.286621,-1.342773,-10.320045,-7.019408,-81.810067
3.913256,0.782541,0.277798,9.785760,-0.061035,-3.051758,-3.540039,-11.488053,-7.250002,-79.742934
3.933223,0.909562,0.560112,9.980659,0.427246,-0.061035,2.197266,-11.721654,-6.558221,-81.810067
3.953373,0.816565,1.075054,8.389737,0.549316,-3.967285,2.258301,-12.188857,-7.019408,-81.350704
3.973444,1.295162,0.352329,8.808997,-1.281738,-5.371094,-1.220703,-11.955256,-7.250002,-81.580385
3.993105,1.701176,0.130994,9.384630,0.610352,-0.366211,-3.845215,-11.721654,-6.558221,-81.350704
4.012905,0.635106,1.027626,8.786334,-0.549316,6.042480,-5.065918,-13.590466,-6.097033,-82.728793
4.032795,1.692103,0.370397,9.516073,0.000000,-0.305176,-3.479004,-13.590466,-7.941784,-82.728793
4.052507,1.349600,0.275539,9.534204,0.366211,0.427246,-2.136230,-14.992076,-4.713469,-82.269430
4.072574,1.669421,0.948577,8.233364,-0.976562,-2.624512,-4.211426,-14.524873,-7.019408,-84.106882
4.092121,1.465280,0.858237,9.720038,-0.732422,-2.929688,0.061035,-12.188857,-6.558221,-85.025608
4.111135,1.245261,1.133776,8.648091,-0.976562,1.770020,-2.685547,-12.889662,-7.250002,-85.714652
4.130521,1.027510,0.862754,9.740434,-2.746582,-10.314941,-0.793457,-12.889662,-6.327627,-85.255289
4.149918,0.594278,0.496874,8.629961,-0.183105,-6.164551,0.366211,-13.824068,-8.633566,-86.174015
4.170024,1.095557,0.261988,8.584636,1.281738,5.187988,3.479004,-14.992076,-5.635845,-86.403697
4.190029,1.923463,0.702399,11.562516,0.671387,-0.549316,1.098633,-14.057670,-5.174657,-86.403697
4.209567,1.875830,0.772413,10.633345,0.000000,-0.305176,-0.366211,-13.590466,-5.635845,-87.781786
4.228919,1.669421,0.047429,9.588594,2.136230,5.859375,2.868652,-14.291271,-6.788814,-87.552104
4.248715,1.444866,0.530752,9.701908,0.000000,-0.305176,0.183105,-14.057670,-7.480596,-85.484971
4.268127,0.077120,0.205525,8.978967,-0.671387,-1.892090,-2.990723,-16.627286,-7.250002,-87.092741
4.286732,0.517158,-0.295866,9.488878,-1.403809,-6.103516,-2.868652,-14.992076,-7.019408,-89.159875
4.307176,1.059266,0.679814,10.173292,-0.610352,-9.460449,-5.981445,-16.160083,-5.405251,-88.470830
4.327082,1.091021,1.291872,7.721186,0.427246,-2.441406,-2.624512,-15.926482,-7.480596,-90.078601
4.346924,2.556301,-0.210042,12.299055,0.915527,5.187988,-4.455566,-16.160083,-6.788814,-90.308282
4.366735,0.709958,0.451704,9.212393,-0.976562,-6.591797,-1.220703,-17.094489,-8.172378,-91.686371
4.386283,1.102362,0.560112,10.084908,0.122070,-8.972168,4.272461,-16.860888,-8.402972,-93.294142
4.405465,3.449985,0.661746,12.142682,-0.549316,12.451172,3.417969,-17.094489,-8.172378,-93.064460
4.424853,1.247529,0.530752,9.237322,-0.549316,-2.075195,0.549316,-17.561693,-10.478317,-94.442549
4.444881,1.154532,0.686589,9.282647,-1.708984,-0.305176,0.366211,-17.094489,-10.017129,-93.983186
4.465005,1.002560,-0.027102,10.098505,0.488281,-3.723145,1.037598,-18.496099,-8.633566,-95.820638
4.484520,0.964000,0.483323,9.427689,-0.183105,-0.854492,-1.342773,-18.496099,-9.555941,-96.280001
4.503709,2.182042,1.032143,10.361393,-0.244141,4.638672,-2.563477,-19.430505,-9.555941,-93.983186
4.522457,1.553741,0.273281,9.695109,0.732422,-3.784180,1.708984,-19.196903,-9.325347,-96.509682
4.541806,1.891708,0.112926,9.933067,0.061035,-1.831055,7.324219,-17.561693,-11.400692,-95.361275
4.561323,1.456207,0.347812,10.223150,0.854492,-3.234863,4.943848,-18.963302,-11.400692,-96.280001
4.580474,0.390136,0.539786,8.872452,-0.305176,1.403809,-2.990723,-19.196903,-10.247723,-98.347134
4.599200,1.664884,0.146804,10.522298,0.000000,0.732422,0.488281,-18.496099,-11.861880,-101.792357
4.618194,0.741713,0.560112,9.244121,-0.793457,-7.751465,2.014160,-18.028896,-15.090195,-99.954905
4.637292,1.088753,0.794998,8.865654,0.244141,-1.159668,2.990723,-20.364911,-14.629007,-99.036179
4.656847,1.531059,0.189715,10.311535,-0.427246,1.037598,3.051758,-21.065716,-14.859601,-100.643949
4.676874,0.521694,0.232627,9.337038,-0.915527,-4.150391,-0.183105,-22.000122,-14.398413,-99.725223
4.697364,1.649007,0.313934,9.556866,0.000000,-2.319336,-0.183105,-21.766520,-15.090195,-100.873631
4.717304,1.043388,0.381690,9.942132,-0.244141,-0.732422,-1.159668,-21.532919,-14.859601,-99.725223
4.737680,1.220310,0.476547,9.928535,-1.037598,-2.197266,-1.770020,-20.598513,-14.859601,-101.562675
4.757618,1.068339,0.494615,8.491719,-0.061035,0.854492,-2.624512,-19.664106,-14.398413,-102.481401
4.777494,1.742004,0.632385,9.946665,-0.122070,3.662109,-2.685547,-19.897708,-14.167819,-101.792357
4.796779,1.020706,0.528493,9.162535,-0.427246,-1.220703,-3.295898,-20.131309,-15.320789,-102.940764
4.815765,1.236188,0.481064,9.273582,-0.122070,1.647949,-3.662109,-18.262497,-14.398413,-102.940764
4.832837,1.494767,0.151321,10.148363,-0.244141,-1.831055,-2.563477,-22.000122,-15.320789,-102.940764
4.853098,1.399501,0.722726,9.606724,0.000000,0.915527,-2.868652,-19.664106,-17.165540,-102.940764
4.873396,1.578691,0.406533,9.545535,-0.366211,0.183105,-3.112793,-20.131309,-16.243164,-102.022038
4.893144,1.320113,-0.024844,9.454884,0.061035,2.197266,-0.976562,-20.131309,-16.704352,-102.940764
4.912881,1.358673,0.180681,9.846949,-0.122070,-0.549316,-1.708984,-19.664106,-16.243164,-101.562675
