time_s,ax,ay,az,gx,gy,gz,mx,my,mz
3.172804,1.075143,1.041177,9.631653,-1.770020,1.281738,-17.333984,19.580951,15.578794,-70.325992
3.189739,1.671689,0.575922,9.708706,-2.258301,-0.122070,-18.066406,21.216162,18.115327,-67.340133
3.206232,1.841807,0.280056,9.708706,-0.976562,0.610352,-9.582520,20.982561,14.656418,-67.569814
3.222811,1.426720,0.313934,9.769896,-0.122070,-0.183105,-1.953125,20.281756,14.887012,-71.015037
3.239748,1.159068,-0.162613,9.869612,-0.915527,-0.183105,-8.666992,18.880147,16.270576,-68.718222
3.256415,0.741713,0.555595,9.837884,-1.586914,-0.549316,-18.676758,19.814553,15.348200,-69.636948
3.272989,1.474353,0.939543,9.744967,-2.441406,0.366211,-27.709961,18.880147,16.731763,-68.258859
3.289554,1.453939,0.546561,9.876411,-2.258301,0.122070,-23.193359,20.048154,17.423545,-68.947903
3.305959,1.363209,0.435894,9.815221,-2.014160,-0.122070,-21.301270,20.982561,16.501170,-69.407266
3.322511,1.519717,0.483323,9.731369,-1.464844,-0.549316,-14.770508,21.683365,16.731763,-68.258859
3.339455,1.295162,0.659487,9.948931,-1.159668,-0.122070,-13.916016,18.646545,15.578794,-70.785355
3.356420,1.447134,0.478806,9.785760,-1.281738,-0.610352,-10.864258,20.281756,16.731763,-69.177585
3.372962,1.583228,0.720467,9.733635,-1.220703,-0.305176,-12.878418,19.580951,18.345921,-71.704081
3.389540,1.297430,0.571405,9.801624,-1.281738,-0.061035,-12.268066,17.011334,15.348200,-70.096311
3.405968,1.222579,0.844686,9.812955,-1.708984,0.610352,-17.578125,20.748959,16.270576,-71.015037
3.422537,1.533327,0.691106,9.917203,-1.647949,0.122070,-18.493652,20.748959,18.115327,-67.340133
3.439562,1.465280,0.526235,9.645251,-1.525879,-0.427246,-14.709473,17.712139,18.345921,-68.029177
3.455439,1.669421,0.304900,9.844683,-0.854492,-0.305176,-8.422852,19.814553,18.576515,-69.177585
3.472419,1.540131,0.420084,9.783493,-0.366211,-0.061035,-2.075195,19.113748,18.807109,-68.029177
3.488961,1.331454,0.519459,9.778961,-0.061035,-0.122070,-0.244141,20.748959,19.960078,-71.015037
3.505548,1.025242,0.734018,9.819754,-0.976562,0.366211,-9.460449,20.048154,16.501170,-67.110451
3.521946,1.533327,0.388465,9.856014,-1.220703,0.427246,-11.352539,18.880147,17.192951,-70.096311
3.538499,1.614983,0.374914,9.738168,-0.671387,-0.183105,-5.859375,19.347350,17.192951,-68.258859
